ID,Station Name,CPO / Operator,Ownership,State,District,City,Location / Address,Latitude,Longitude,Connector Count,Max Power (kW),Connector Categories,Connector Types,Charger Ratings (kW),Connector Ratings (kW),Record Count,Source,Snapshot Date
BEE-00001,IOCL - South Andaman,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Iocl Dealer Govind Nagar Swaraj Dweep (Havelock No.2),12.034186,92.992718,1,7.4,Type 2 AC,Type-II AC,7.4,7.4,1,BEE,2025-10-26
BEE-00002,IOCL - South Andaman,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Iocl Dealer S.No.45/1 Bimblitan Port Blair,11.604053,92.694109,1,7.4,Type 2 AC,Type-II AC,7.4,7.4,1,BEE,2025-10-26
BEE-00003,IOCL - South Andaman,IOCL,Govt.,Andaman & Nicobar,South Andamans,South Andaman,Marina Refueling Station Vill-Austinabad Po-Brijgunj Tehsil-Port Blair Dist. . South Anda,11.63741,92.73516,1,3.3,LEV AC,LEV AC Charge point,3.3,3.3,1,BEE,2025-10-26
BEE-00004,Tata Power - Port Blair,Tata Power,Private,Andaman & Nicobar,South Andamans,Port Blair,"Gennext Motors , Pahargaon, Ground Floor New, Pahargaon, Port Blair, Andaman And Nicobar Islands 744103",11.630305,92.724835,1,25.0,CCS2 / CCS,CCS-II,25.0,25.0,1,BEE,2025-10-26
BEE-00005,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"27, 962, Chittoor-Bangalore Rd, Near Tvs Showroom, Ram Nagar Colony, Chittoor, Andhra Pradesh 517001 (IS-17017-2-7)",13.20824,79.091059,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00006,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"P Kothakota, Chavatapalli, Chittoor, Nh-18A, Chittoor Tirupati Road, Chittoor, Chittoor, Andhra Pradesh 517124 (IS-17017-2-7)",13.395837,79.098628,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00007,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"F5Hq+Pph, Sh 61, Panapakam, Andhra Pradesh 517112",13.479711,79.189436,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00008,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"H7Hq+M8M, Chittoor, Andhra Pradesh 517101",13.579204,79.288332,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00009,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"M, Balaji Nagar, Thondavada Village, Nh-140, Chandragiri, Tirupati, Andhra Pradesh 517505 (IS-17017-2-7)",13.585804,79.333717,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00010,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Opp Narayana Junior College, Near Chennai - Anatapur Highway - 517102",13.615353,79.313392,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00011,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Hitec Nissan, 714/ 2B Tukivakam, 200 Ft. Chennai, Bangalore Tirupathi Bypass Rd, Tirupati, Andhra Pradesh 517520 (IS-17017-2-7)",13.615964,79.480223,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00012,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Anantapur - Tirupati Hwy, Saibaba Colony, Thatithopu, Tirupati, Andhra Pradesh 517101 (IS-17017-2-7)",13.617293,79.371649,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00013,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Vedhavyasa Bhavan, Air Bypass Road, Royal Nagar, Tirupati, Andhra Pradesh",13.622645,79.414697,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00014,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"D No 19/8, 181/E8, Air Bypass Rd, Opposite D Mart, Yadava Colony, Royal Nagar, Tirupati, Andhra Pradesh 517501 (IS-17017-2-7)",13.622753,79.420758,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00015,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Kanigiri - Tirupathi Rd, Sv Auto Nagar, Tirupati, Andhra Pradesh",13.629277,79.461988,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00016,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Plot No :28 Akkarampalle Main Road, Beside Nandini Bakery, Tirupati, Andhra Pradesh 517501 (IS-17017-2-7)",13.644741,79.437938,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00017,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"2, Tmb Road, Srinivasa Nagar, Madura Nagar, Tirupati, Andhra Pradesh 517501 (IS-17017-2-7)",13.650289,79.423984,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00018,Ather - Tirupati,Ather,Private,Andhra Pradesh,Tirupati,Tirupati,"Pn Rd, Srikalahasti, Andhra Pradesh 517644",13.758817,79.707775,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00019,"Ather - Near Honda Show Room, Ground, 8/87-2, Raja Street, Gudur, Spsr Nellore,",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Near Honda Show Room, Ground, 8/87-2, Raja Street, Gudur, Spsr Nellore,","LEV DC Charge Point Andhra Pradesh, 524101.",14.13839,79.86263,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00020,"Ather - Bus Stop, Dnt Colony, Grand Trunk Road, Venkata Reddy Nagar, Nellore,",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Bus Stop, Dnt Colony, Grand Trunk Road, Venkata Reddy Nagar, Nellore,",LEV DC Charge Point Andhra Pradesh 524004,14.405013,79.951682,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00021,Ather - Sportello Presto Restaurant Private Limited Near Sakshi News Paper Survey,Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,Sportello Presto Restaurant Private Limited Near Sakshi News Paper Survey,"LEV DC Charge Point No 200-1, Nh45, Kondayapalem, Nellore, Andhra Pradesh 524002",14.413488,79.982189,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00022,"Ather - Opp. Lic Main Branch, Kondayapalem Gate Main Rd, Near Mgb Felicity Mall,",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Opp. Lic Main Branch, Kondayapalem Gate Main Rd, Near Mgb Felicity Mall,","LEV DC Charge Point Sujathamma Colony, Dargamitta, Nellore, Andhra Pradesh 524003",14.428871,79.966426,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00023,"Ather - Lecturers Colony, Lecturer'S Colony, Magunta Layout, Nellore, Andhra",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Lecturers Colony, Lecturer'S Colony, Magunta Layout, Nellore, Andhra",LEV DC Charge Point Pradesh 524003,14.435977,79.975689,2,3.3,Other,(IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00024,"Ather - Cxqc+942, Opposite To Reliance Mart, Near Kvr Petrol Bunk, Dargamitta,",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Cxqc+942, Opposite To Reliance Mart, Near Kvr Petrol Bunk, Dargamitta,","LEV DC Charge Point Nellore, Andhra Pradesh 524003",14.43839,79.970272,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00025,"Ather - Cxqx+Qw5, Guntur-Chennai Hwy, Chintareddy Palem, Nellore, Andhra",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Cxqx+Qw5, Guntur-Chennai Hwy, Chintareddy Palem, Nellore, Andhra",LEV DC Charge Point Pradesh 524002,14.439406,79.999846,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00026,"Ather - Balaji Nagar Rd, Balaji Nagar, Nellore, Andhra Pradesh 524002",Ather,Private,Andhra Pradesh,Sri Potti Sriramulu Nellore Nellore,"Balaji Nagar Rd, Balaji Nagar, Nellore, Andhra Pradesh 524002",LEV DC Charge Point,14.450535,79.992435,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00027,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"N.R.T Centre, Chilakaluripet, Andhra Pradesh 522616",16.095078,80.165872,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00028,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Near, Nh216, Reserve Police Quarters, Machilipatnam, Andhra Pradesh 521001 (IS-17017-2-7)",16.189181,81.139076,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00029,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"Sivaram Nagar Post, Chuttagunta, Guntur, Andhra Pradesh 522003",16.291247,80.427374,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00030,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"Door No :12-22-8, Kothapet, Guntur, Andhra Pradesh 522001",16.296253,80.449571,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00031,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"4Thline, 9Th Cross Rd, Brodipet, Guntur, Andhra Pradesh 522002",16.302581,80.434916,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00032,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"Arundelpet, 4Th Ln, Main Road, Guntur, Andhra Pradesh 522002",16.304241,80.443994,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00033,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"Door No :15-11-150, Beside Mediline Hospital, Near Padmaja Petrol Bunk Mangalagiri Road, Guntur - Vijayawada Hwy, Sitaram Nagar, Guntur, Andhra Pradesh 522001",16.304814,80.461698,1,3.3,Other,(IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00034,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"1St Line, Navabharath Nagar, Guntur, Andhra Pradesh 522006",16.31882,80.421427,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00035,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"D.No 133-21 & 133-21/A 11-237/3A Gorantla, Guntur, Gorlavaripalem Guntur, Andhra Pradesh 522034. (IS-17017-2-7)",16.329035,80.438296,2,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,2,BEE,2025-10-26
BEE-00036,Ather - Guntur,Ather,Private,Andhra Pradesh,Guntur,Guntur,"Kaza Toll Plaza National Highway 16, Kaza, Village, Guntur, Andhra Pradesh 522508 (IS-17017-2-7)",16.388414,80.535797,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00037,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"Koganti Rajabapaih Cho2K, Gudivada, Andhra Pradesh 521301",16.433838,80.993187,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
BEE-00038,Ather - Vijayawada,Ather,Private,Andhra Pradesh,Krishna,Vijayawada,"New Bypas Road, Near Kkr Gowtham School, Gudivada, Andhra Pradesh 521301 (IS-17017-2-7)",16.4381,81.006835,1,3.3,LEV DC,LEV DC Charge Point (IS-17017-2-7),3.3,3.3,1,BEE,2025-10-26
